BusinessEntityID,PhoneNumber,PhoneNumberTypeID,ModifiedDate
89,413-555-0124,1,2010-01-25 00:00:00.000
90,500-555-0172,1,2010-02-13 00:00:00.000
91,123-555-0167,3,2010-01-05 00:00:00.000
92,295-555-0161,3,2010-03-03 00:00:00.000
93,999-555-0155,3,2008-12-20 00:00:00.000
94,786-555-0144,3,2008-12-05 00:00:00.000
95,679-555-0113,3,2008-12-12 00:00:00.000
96,318-555-0137,1,2009-02-23 00:00:00.000
97,140-555-0132,3,2009-02-03 00:00:00.000
98,990-555-0172,1,2009-02-04 00:00:00.000
99,913-555-0184,1,2008-12-30 00:00:00.000
100,582-555-0178,1,2009-01-05 00:00:00.000
101,180-555-0136,1,2009-01-18 00:00:00.000
102,113-555-0173,1,2008-11-26 00:00:00.000
103,202-555-0187,1,2009-11-29 00:00:00.000
104,283-555-0185,3,2009-12-18 00:00:00.000
105,555-555-0113,3,2009-12-18 00:00:00.000
106,254-555-0114,3,2010-02-20 00:00:00.000
107,153-555-0166,1,2010-02-01 00:00:00.000
108,794-555-0159,1,2008-12-01 00:00:00.000
109,333-555-0173,1,2008-11-30 00:00:00.000
110,299-555-0113,3,2008-12-07 00:00:00.000
111,932-555-0161,3,2008-12-10 00:00:00.000
112,172-555-0130,1,2008-12-25 00:00:00.000
113,612-555-0171,1,2008-12-18 00:00:00.000
114,637-555-0120,3,2009-01-06 00:00:00.000
115,150-555-0194,1,2009-01-13 00:00:00.000
116,441-555-0195,3,2009-01-24 00:00:00.000
117,559-555-0175,3,2009-02-11 00:00:00.000
118,100-555-0174,3,2009-02-06 00:00:00.000
119,817-555-0186,3,2009-02-18 00:00:00.000
120,785-555-0132,3,2009-02-25 00:00:00.000
121,577-555-0185,3,2008-12-26 00:00:00.000
122,943-555-0196,3,2008-11-30 00:00:00.000
123,937-555-0137,3,2008-11-30 00:00:00.000
124,309-555-0129,3,2008-12-19 00:00:00.000
125,139-555-0120,1,2009-01-13 00:00:00.000
126,927-555-0168,1,2009-02-19 00:00:00.000
127,986-555-0177,1,2008-12-27 00:00:00.000
128,147-555-0160,3,2008-11-27 00:00:00.000
129,901-555-0125,1,2008-12-15 00:00:00.000
130,238-555-0116,3,2009-02-06 00:00:00.000
131,164-555-0114,3,2009-02-08 00:00:00.000
132,508-555-0129,1,2009-02-15 00:00:00.000
133,454-555-0119,3,2009-01-03 00:00:00.000
134,260-555-0119,1,2009-01-07 00:00:00.000
135,115-555-0179,3,2008-11-27 00:00:00.000
136,492-555-0174,1,2009-12-04 00:00:00.000
137,106-555-0120,3,2009-02-16 00:00:00.000
138,587-555-0114,1,2009-01-28 00:00:00.000
139,497-555-0181,1,2009-12-30 00:00:00.000
140,129-555-0199,1,2010-01-15 00:00:00.000
141,590-555-0152,3,2010-01-17 00:00:00.000
142,306-555-0186,1,2010-02-25 00:00:00.000
143,491-555-0183,1,2010-02-06 00:00:00.000
144,727-555-0112,1,2009-01-10 00:00:00.000
145,352-555-0138,1,2009-01-20 00:00:00.000
146,952-555-0178,1,2008-11-30 00:00:00.000
147,896-555-0168,3,2008-12-19 00:00:00.000
148,571-555-0179,3,2009-01-07 00:00:00.000
149,118-555-0110,1,2009-01-24 00:00:00.000
150,296-555-0121,1,2009-02-19 00:00:00.000
151,751-555-0134,1,2009-02-12 00:00:00.000
152,965-555-0155,1,2009-01-25 00:00:00.000
153,319-555-0139,3,2008-12-09 00:00:00.000
154,226-555-0197,3,2008-12-16 00:00:00.000
155,935-555-0116,3,2008-12-28 00:00:00.000
156,200-555-0117,1,2009-01-04 00:00:00.000
157,696-555-0157,3,2009-01-27 00:00:00.000
158,991-555-0184,1,2009-02-28 00:00:00.000
159,110-555-0115,3,2009-02-09 00:00:00.000
160,350-555-0167,1,2009-01-14 00:00:00.000
161,669-555-0150,3,2008-12-08 00:00:00.000
162,777-555-0141,3,2008-12-27 00:00:00.000
163,819-555-0198,3,2009-02-01 00:00:00.000
164,207-555-0192,1,2009-02-27 00:00:00.000
165,200-555-0112,1,2009-01-15 00:00:00.000
166,552-555-0111,3,2009-02-14 00:00:00.000
167,166-555-0162,1,2008-11-25 00:00:00.000
168,609-555-0179,3,2008-11-30 00:00:00.000
169,639-555-0164,1,2008-12-07 00:00:00.000
170,518-555-0199,1,2008-12-14 00:00:00.000
171,373-555-0142,3,2008-12-26 00:00:00.000
172,234-555-0169,1,2009-01-09 00:00:00.000
173,241-555-0191,1,2009-01-14 00:00:00.000
174,533-555-0111,1,2009-01-20 00:00:00.000
175,678-555-0110,3,2009-01-26 00:00:00.000
176,118-555-0177,3,2009-02-07 00:00:00.000
177,517-555-0122,3,2009-02-14 00:00:00.000
178,663-555-0172,1,2009-02-24 00:00:00.000
179,139-555-0131,3,2009-02-26 00:00:00.000
180,809-555-0133,3,2009-02-13 00:00:00.000
181,218-555-0126,3,2008-12-02 00:00:00.000
182,143-555-0173,1,2008-12-21 00:00:00.000
183,119-555-0192,1,2009-01-15 00:00:00.000
184,201-555-0163,1,2009-02-02 00:00:00.000
185,165-555-0113,1,2009-02-21 00:00:00.000
186,810-555-0178,1,2009-02-01 00:00:00.000
187,286-555-0189,3,2008-12-02 00:00:00.000
188,808-555-0172,1,2008-12-20 00:00:00.000
189,540-555-0191,3,2009-01-08 00:00:00.000
190,589-555-0147,1,2009-01-26 00:00:00.000
191,450-555-0152,1,2009-02-19 00:00:00.000
192,142-555-0139,3,2009-02-26 00:00:00.000
193,668-555-0130,3,2008-11-29 00:00:00.000
194,818-555-0192,1,2008-12-05 00:00:00.000
195,714-555-0138,3,2008-12-10 00:00:00.000
196,793-555-0179,1,2008-12-17 00:00:00.000
197,373-555-0137,1,2008-12-24 00:00:00.000
198,845-555-0184,3,2008-12-28 00:00:00.000
199,476-555-0119,1,2009-01-05 00:00:00.000
200,158-555-0191,1,2009-01-10 00:00:00.000
201,110-555-0182,1,2009-01-22 00:00:00.000
202,368-555-0113,3,2009-01-29 00:00:00.000
203,949-555-0174,3,2009-02-17 00:00:00.000
204,310-555-0117,3,2009-03-01 00:00:00.000
205,289-555-0196,1,2009-02-19 00:00:00.000
206,413-555-0136,1,2008-11-25 00:00:00.000
207,332-555-0150,3,2008-11-25 00:00:00.000
208,391-555-0138,1,2009-01-01 00:00:00.000
209,446-555-0118,3,2009-01-20 00:00:00.000
210,319-555-0126,1,2009-02-13 00:00:00.000
211,869-555-0125,3,2009-02-21 00:00:00.000
212,164-555-0164,3,2008-12-02 00:00:00.000
213,325-555-0137,3,2010-02-16 00:00:00.000
214,181-555-0124,1,2009-01-26 00:00:00.000
215,147-555-0179,1,2009-01-08 00:00:00.000
216,420-555-0173,1,2008-12-21 00:00:00.000
217,204-555-0115,1,2008-12-28 00:00:00.000
218,910-555-0116,3,2008-12-09 00:00:00.000
219,205-555-0132,1,2009-01-15 00:00:00.000
220,746-555-0164,3,2009-02-02 00:00:00.000
221,575-555-0126,1,2009-02-27 00:00:00.000
222,992-555-0194,1,2008-12-05 00:00:00.000
223,500-555-0159,1,2009-01-19 00:00:00.000
224,148-555-0145,1,2008-12-31 00:00:00.000
225,438-555-0172,3,2009-02-06 00:00:00.000
226,313-555-0196,1,2009-02-24 00:00:00.000
227,110-555-0112,1,2009-11-25 00:00:00.000
228,846-555-0157,1,2008-12-07 00:00:00.000
229,295-555-0161,1,2010-02-09 00:00:00.000
230,539-555-0149,3,2010-02-26 00:00:00.000
231,228-555-0159,1,2010-02-28 00:00:00.000
232,720-555-0158,3,2010-01-20 00:00:00.000
233,583-555-0182,3,2009-12-14 00:00:00.000
234,615-555-0110,1,2009-01-24 00:00:00.000
235,523-555-0175,1,2008-11-29 00:00:00.000
236,955-555-0131,3,2009-02-18 00:00:00.000
237,806-555-0136,3,2009-01-30 00:00:00.000
238,153-555-0186,3,2008-12-25 00:00:00.000
239,522-555-0147,3,2008-12-18 00:00:00.000
240,778-555-0141,3,2008-12-06 00:00:00.000
241,646-555-0185,3,2009-01-23 00:00:00.000
242,602-555-0194,1,2008-12-11 00:00:00.000
243,920-555-0177,1,2008-12-30 00:00:00.000
244,935-555-0199,3,2009-01-17 00:00:00.000
245,822-555-0145,1,2009-02-11 00:00:00.000
246,117-555-0185,3,2009-02-04 00:00:00.000
247,393-555-0186,3,2009-02-22 00:00:00.000
248,927-555-0150,3,2009-03-01 00:00:00.000
249,248-555-0134,3,2008-12-18 00:00:00.000
250,210-555-0193,3,2011-02-18 00:00:00.000
251,309-555-0170,3,2009-02-03 00:00:00.000
252,848-555-0163,1,2009-02-21 00:00:00.000
253,916-555-0165,1,2009-12-10 00:00:00.000
254,520-555-0177,3,2009-12-28 00:00:00.000
255,230-555-0144,1,2010-01-04 00:00:00.000
256,163-555-0147,1,2010-01-16 00:00:00.000
257,265-555-0195,3,2010-01-20 00:00:00.000
258,842-555-0158,3,2010-01-24 00:00:00.000
259,151-555-0113,3,2010-03-02 00:00:00.000
260,125-555-0196,1,2010-11-29 00:00:00.000
261,370-555-0163,3,2010-12-18 00:00:00.000
262,477-555-0132,3,2009-01-05 00:00:00.000
263,685-555-0120,3,2008-12-04 00:00:00.000
264,594-555-0110,3,2009-01-28 00:00:00.000
265,656-555-0119,3,2008-11-27 00:00:00.000
266,310-555-0133,3,2009-02-16 00:00:00.000
267,654-555-0177,3,2009-02-09 00:00:00.000
268,182-555-0134,3,2009-01-27 00:00:00.000
269,166-555-0159,3,2009-01-04 00:00:00.000
270,785-555-0110,1,2009-01-10 00:00:00.000
271,653-555-0144,3,2009-01-15 00:00:00.000
272,623-555-0155,3,2008-12-16 00:00:00.000
273,716-555-0127,1,2011-02-08 00:00:00.000
274,238-555-0197,1,2010-12-28 00:00:00.000
275,257-555-0154,1,2011-05-24 00:00:00.000
276,883-555-0116,3,2011-05-24 00:00:00.000
277,517-555-0117,3,2011-05-24 00:00:00.000
278,922-555-0165,3,2011-05-24 00:00:00.000
279,664-555-0112,3,2011-05-24 00:00:00.000
280,340-555-0193,1,2011-05-24 00:00:00.000
281,330-555-0120,1,2011-05-24 00:00:00.000
282,185-555-0169,3,2011-05-24 00:00:00.000
283,740-555-0182,3,2011-05-24 00:00:00.000
284,615-555-0153,3,2012-09-23 00:00:00.000
285,926-555-0182,3,2013-03-07 00:00:00.000
286,1 (11) 500 555-0190,1,2013-05-23 00:00:00.000
287,775-555-0164,3,2012-04-09 00:00:00.000
288,1 (11) 500 555-0140,1,2013-05-23 00:00:00.000
289,1 (11) 500 555-0145,3,2012-05-23 00:00:00.000
290,1 (11) 500 555-0117,1,2012-05-23 00:00:00.000
291,398-555-0132,1,2015-04-15 16:33:33.060
293,747-555-0171,1,2015-04-15 16:33:33.077
295,334-555-0137,3,2015-04-15 16:33:33.077
297,599-555-0127,1,2015-04-15 16:33:33.090
299,1 (11) 500 555-0132,1,2015-04-15 16:33:33.090
301,991-555-0183,3,2015-04-15 16:33:33.090
303,959-555-0151,1,2015-04-15 16:33:33.107
305,107-555-0138,1,2015-04-15 16:33:33.107
307,158-555-0142,1,2015-04-15 16:33:33.123
309,453-555-0165,1,2015-04-15 16:33:33.123
311,554-555-0110,3,2011-08-01 00:00:00.000
313,1 (11) 500 555-0198,1,2013-06-30 00:00:00.000
315,678-555-0175,1,2013-07-31 00:00:00.000
317,571-555-0128,1,2011-05-31 00:00:00.000
319,440-555-0166,1,2011-08-01 00:00:00.000
321,1 (11) 500 555-0150,1,2012-07-31 00:00:00.000
323,727-555-0115,3,2012-07-31 00:00:00.000
325,197-555-0143,3,2012-05-30 00:00:00.000
327,492-555-0189,1,2013-07-31 00:00:00.000
329,331-555-0162,1,2013-05-30 00:00:00.000
331,968-555-0153,3,2012-06-30 00:00:00.000
333,845-555-0187,1,2011-08-01 00:00:00.000
335,115-555-0175,3,2013-03-30 00:00:00.000
337,555-555-0162,3,2013-06-30 00:00:00.000
339,695-555-0111,3,2011-07-01 00:00:00.000
341,447-555-0110,1,2011-10-31 00:00:00.000
343,607-555-0193,1,2011-07-01 00:00:00.000
345,699-555-0155,1,2011-07-01 00:00:00.000
347,855-555-0174,1,2011-07-01 00:00:00.000
349,1 (11) 500 555-0190,1,2013-07-31 00:00:00.000
351,781-555-0199,1,2012-06-30 00:00:00.000
353,178-555-0129,3,2013-07-31 00:00:00.000
355,614-555-0134,3,2011-07-01 00:00:00.000
357,1 (11) 500 555-0181,1,2013-06-30 00:00:00.000
359,327-555-0148,1,2013-06-30 00:00:00.000
361,922-555-0193,1,2011-08-01 00:00:00.000
363,500-555-0134,3,2013-06-30 00:00:00.000
365,717-555-0131,3,2012-05-30 00:00:00.000
367,883-555-0177,1,2011-07-01 00:00:00.000
369,226-555-0146,1,2011-07-01 00:00:00.000
371,149-555-0113,1,2011-07-01 00:00:00.000
373,556-555-0145,1,2013-06-30 00:00:00.000
375,129-555-0110,3,2011-08-01 00:00:00.000
377,1 (11) 500 555-0139,3,2013-06-30 00:00:00.000
379,665-555-0198,3,2013-07-31 00:00:00.000
381,818-555-0171,3,2012-07-31 00:00:00.000
383,1 (11) 500 555-0187,3,2013-07-31 00:00:00.000
385,221-555-0167,1,2012-07-31 00:00:00.000
387,121-555-0157,3,2011-10-31 00:00:00.000
389,234-555-0112,3,2012-08-30 00:00:00.000
391,583-555-0130,3,2011-05-31 00:00:00.000
393,790-555-0112,3,2013-07-31 00:00:00.000
395,780-555-0114,3,2011-08-01 00:00:00.000
397,640-555-0189,1,2012-07-31 00:00:00.000
399,816-555-0118,3,2011-08-01 00:00:00.000
401,134-555-0182,1,2012-05-30 00:00:00.000
403,752-555-0115,3,2012-06-30 00:00:00.000
405,241-555-0112,1,2012-10-30 00:00:00.000
407,1 (11) 500 555-0151,3,2013-07-31 00:00:00.000
409,1 (11) 500 555-0168,3,2013-06-30 00:00:00.000
411,584-555-0192,3,2011-07-01 00:00:00.000
413,726-555-0191,1,2012-06-30 00:00:00.000
415,1 (11) 500 555-0187,1,2012-05-30 00:00:00.000
417,257-555-0119,3,2011-10-01 00:00:00.000
419,1 (11) 500 555-0112,3,2013-06-30 00:00:00.000
421,916-555-0133,1,2012-06-30 00:00:00.000
423,115-555-0170,3,2012-06-30 00:00:00.000
425,1 (11) 500 555-0113,3,2013-06-30 00:00:00.000
427,396-555-0187,1,2012-06-30 00:00:00.000
429,521-555-0195,3,2013-02-28 00:00:00.000
431,1 (11) 500 555-0132,1,2012-07-31 00:00:00.000
433,1 (11) 500 555-0127,3,2012-06-30 00:00:00.000
435,1 (11) 500 555-0140,1,2013-06-30 00:00:00.000
437,277-555-0169,1,2011-07-01 00:00:00.000
439,843-555-0175,1,2011-05-31 00:00:00.000
441,156-555-0126,1,2013-07-31 00:00:00.000
443,608-555-0114,3,2013-07-31 00:00:00.000
445,1 (11) 500 555-0163,3,2013-07-31 00:00:00.000
447,973-555-0112,1,2011-05-31 00:00:00.000
449,789-555-0189,3,2013-07-31 00:00:00.000
451,528-555-0183,1,2011-10-01 00:00:00.000
453,599-555-0160,3,2011-10-01 00:00:00.000
455,1 (11) 500 555-0177,1,2013-06-30 00:00:00.000
457,911-555-0153,1,2013-03-30 00:00:00.000
459,640-555-0198,3,2011-07-01 00:00:00.000
461,813-555-0173,1,2012-05-30 00:00:00.000
463,519-555-0151,3,2013-07-31 00:00:00.000
465,156-555-0111,1,2011-07-01 00:00:00.000
467,144-555-0175,3,2013-05-30 00:00:00.000
469,795-555-0116,3,2011-07-01 00:00:00.000
471,449-555-0176,3,2012-07-31 00:00:00.000
473,384-555-0169,3,2012-06-30 00:00:00.000
475,471-555-0181,1,2013-06-30 00:00:00.000
477,280-555-0124,1,2011-08-01 00:00:00.000
479,609-555-0186,1,2013-07-31 00:00:00.000
481,1 (11) 500 555-0136,1,2013-06-30 00:00:00.000
483,992-555-0111,3,2011-05-31 00:00:00.000
485,176-555-0136,3,2011-05-31 00:00:00.000
487,264-555-0143,3,2011-05-31 00:00:00.000
489,972-555-0163,1,2013-06-30 00:00:00.000
491,357-555-0161,1,2012-07-31 00:00:00.000
493,121-555-0121,3,2011-07-01 00:00:00.000
495,126-555-0172,1,2011-05-31 00:00:00.000
497,763-555-0145,3,2011-07-01 00:00:00.000
499,838-555-0147,1,2011-08-01 00:00:00.000
501,332-555-0142,3,2013-07-31 00:00:00.000
503,688-555-0113,3,2012-07-31 00:00:00.000
505,383-555-0117,3,2012-07-31 00:00:00.000
507,1 (11) 500 555-0122,1,2013-06-30 00:00:00.000
509,371-555-0143,1,2012-07-31 00:00:00.000
511,844-555-0112,3,2011-08-01 00:00:00.000
513,954-555-0145,3,2013-08-30 00:00:00.000
515,229-555-0114,3,2012-07-31 00:00:00.000
517,340-555-0131,3,2011-05-31 00:00:00.000
519,545-555-0183,3,2011-08-01 00:00:00.000
521,962-555-0166,1,2011-07-01 00:00:00.000
523,494-555-0134,3,2011-10-01 00:00:00.000
525,163-555-0155,3,2012-07-31 00:00:00.000
527,162-555-0166,1,2011-10-01 00:00:00.000
529,513-555-0149,3,2013-06-30 00:00:00.000
531,1 (11) 500 555-0184,1,2013-06-30 00:00:00.000
533,1 (11) 500 555-0179,1,2012-05-30 00:00:00.000
535,525-555-0174,3,2011-10-01 00:00:00.000
537,1 (11) 500 555-0146,1,2013-05-30 00:00:00.000
539,689-555-0130,3,2012-06-30 00:00:00.000
541,575-555-0189,3,2013-05-30 00:00:00.000
543,496-555-0150,3,2011-08-01 00:00:00.000
545,658-555-0146,3,2012-06-30 00:00:00.000
547,428-555-0162,3,2012-05-30 00:00:00.000
549,1 (11) 500 555-0122,3,2013-05-30 00:00:00.000
551,644-555-0114,3,2011-05-31 00:00:00.000
553,581-555-0189,3,2013-06-30 00:00:00.000
555,128-555-0148,1,2012-06-30 00:00:00.000
557,383-555-0155,3,2012-05-30 00:00:00.000
559,249-555-0172,3,2012-07-31 00:00:00.000
561,817-555-0114,3,2012-06-30 00:00:00.000
563,1 (11) 500 555-0183,3,2013-05-30 00:00:00.000
565,476-555-0184,1,2013-07-31 00:00:00.000
567,315-555-0166,1,2012-05-30 00:00:00.000
569,148-555-0149,1,2012-05-30 00:00:00.000
571,857-555-0187,3,2011-07-01 00:00:00.000
573,652-555-0132,1,2011-05-31 00:00:00.000
575,710-555-0116,1,2012-07-31 00:00:00.000
577,1 (11) 500 555-0136,3,2013-07-31 00:00:00.000
579,251-555-0172,1,2013-06-30 00:00:00.000
581,1 (11) 500 555-0129,1,2013-06-30 00:00:00.000
583,131-555-0171,1,2011-05-31 00:00:00.000
585,164-555-0147,3,2011-10-01 00:00:00.000
587,1 (11) 500 555-0138,3,2013-07-31 00:00:00.000
589,1 (11) 500 555-0199,1,2012-05-30 00:00:00.000
591,726-555-0155,1,2011-05-31 00:00:00.000
593,1 (11) 500 555-0122,3,2012-09-30 00:00:00.000
595,1 (11) 500 555-0118,3,2013-06-30 00:00:00.000
597,145-555-0152,1,2012-06-30 00:00:00.000
599,827-555-0143,3,2011-07-01 00:00:00.000
601,1 (11) 500 555-0118,1,2012-06-30 00:00:00.000
603,377-555-0158,1,2012-06-30 00:00:00.000
605,1 (11) 500 555-0190,3,2012-05-30 00:00:00.000
607,700-555-0155,1,2011-07-01 00:00:00.000
609,756-555-0117,3,2012-09-30 00:00:00.000
611,635-555-0126,3,2011-08-01 00:00:00.000
613,118-555-0131,3,2013-05-30 00:00:00.000
615,965-555-0112,3,2011-07-01 00:00:00.000
617,990-555-0141,1,2013-07-31 00:00:00.000
619,488-555-0130,3,2012-09-30 00:00:00.000
621,112-555-0191,3,2012-06-30 00:00:00.000
623,1 (11) 500 555-0140,1,2013-07-31 00:00:00.000
625,193-555-0116,1,2013-07-31 00:00:00.000
627,1 (11) 500 555-0120,1,2012-06-30 00:00:00.000
629,716-555-0167,3,2013-05-30 00:00:00.000
631,646-555-0137,3,2011-08-01 00:00:00.000
633,268-555-0184,3,2012-06-30 00:00:00.000
635,1 (11) 500 555-0163,3,2013-05-30 00:00:00.000
637,620-555-0117,1,2012-07-31 00:00:00.000
639,944-555-0148,3,2012-05-30 00:00:00.000
641,279-555-0130,1,2011-08-01 00:00:00.000
643,244-555-0112,1,2013-07-31 00:00:00.000
645,1 (11) 500 555-0191,3,2012-06-30 00:00:00.000
647,180-555-0114,1,2011-08-01 00:00:00.000
649,353-555-0188,3,2012-06-30 00:00:00.000
651,362-555-0162,1,2013-05-30 00:00:00.000
653,242-555-0181,1,2011-08-01 00:00:00.000
655,695-555-0161,3,2013-06-30 00:00:00.000
657,1 (11) 500 555-0178,3,2012-07-31 00:00:00.000
659,644-555-0111,3,2013-07-31 00:00:00.000
661,351-555-0131,3,2011-05-31 00:00:00.000
663,301-555-0128,1,2012-05-30 00:00:00.000
665,1 (11) 500 555-0134,1,2013-05-30 00:00:00.000
667,127-555-0124,1,2011-08-01 00:00:00.000
669,448-555-0179,3,2013-05-30 00:00:00.000
671,223-555-0184,1,2011-08-01 00:00:00.000
673,708-555-0169,3,2012-05-30 00:00:00.000
675,1 (11) 500 555-0180,1,2013-07-31 00:00:00.000
677,117-555-0173,3,2011-07-01 00:00:00.000
679,514-555-0128,1,2011-08-01 00:00:00.000
681,789-555-0184,1,2013-07-31 00:00:00.000
683,344-555-0181,3,2012-05-30 00:00:00.000
685,264-555-0164,3,2011-08-01 00:00:00.000
687,1 (11) 500 555-0181,1,2013-05-30 00:00:00.000
689,1 (11) 500 555-0142,1,2013-06-30 00:00:00.000
691,727-555-0190,3,2012-05-30 00:00:00.000
693,273-555-0181,1,2011-08-01 00:00:00.000
695,429-555-0145,1,2013-07-31 00:00:00.000
697,334-555-0146,3,2011-05-31 00:00:00.000
699,927-555-0198,3,2012-06-30 00:00:00.000
701,221-555-0141,3,2012-07-31 00:00:00.000
703,539-555-0142,1,2011-07-01 00:00:00.000
705,1 (11) 500 555-0176,3,2013-06-30 00:00:00.000
707,206-555-0195,1,2013-06-30 00:00:00.000
709,250-555-0127,1,2012-06-30 00:00:00.000
711,661-555-0168,3,2013-06-30 00:00:00.000
713,426-555-0181,1,2011-10-01 00:00:00.000
715,159-555-0190,3,2011-10-31 00:00:00.000
717,1 (11) 500 555-0140,3,2013-05-30 00:00:00.000
719,292-555-0128,1,2013-05-30 00:00:00.000
721,987-555-0126,3,2011-05-31 00:00:00.000
723,397-555-0144,3,2011-08-01 00:00:00.000
725,119-555-0144,3,2011-10-31 00:00:00.000
727,652-555-0115,3,2011-07-01 00:00:00.000
729,1 (11) 500 555-0117,3,2013-07-31 00:00:00.000
731,383-555-0111,3,2012-06-30 00:00:00.000
733,752-555-0187,1,2012-07-31 00:00:00.000
735,1 (11) 500 555-0133,3,2013-05-30 00:00:00.000
737,428-555-0176,3,2011-07-01 00:00:00.000
739,884-555-0193,3,2011-08-01 00:00:00.000
741,773-555-0182,3,2011-08-31 00:00:00.000
743,542-555-0164,1,2012-05-30 00:00:00.000
745,941-555-0155,1,2012-06-30 00:00:00.000
747,1 (11) 500 555-0147,3,2013-07-31 00:00:00.000
749,140-555-0143,1,2011-07-01 00:00:00.000
751,945-555-0112,3,2011-08-01 00:00:00.000
753,539-555-0182,3,2011-08-01 00:00:00.000
755,889-555-0176,3,2013-06-30 00:00:00.000
